intensityDif,speaker,Word,precedingPhone,followingPhone,stressStatus,wordFrequency,grupo,sexo
10.4382386099131,001cdmxf30lic,NADA,baja,baja,unstressed,3.01703333929878,CDMXINSITU,FEMENINO
4.4436620384936,001cdmxf30lic,TODAV2A,media,baja,unstressed,2.44715803134222,CDMXINSITU,FEMENINO
15.7318896040436,001cdmxf30lic,OPORTUNIDAD,alta,baja,stressed,2.17609125905568,CDMXINSITU,FEMENINO
2.8829696920608,001cdmxf30lic,PUEDES,media,media,unstressed,2.79934054945358,CDMXINSITU,FEMENINO
3.92064050373831,002cdmxm32lic,POD2A,media,alta,stressed,2.07918124604763,CDMXINSITU,MASCULINO
0.647790579568948,002cdmxm32lic,TODOS,media,media,unstressed,3.11058971029925,CDMXINSITU,MASCULINO
14.486961169493,002cdmxm32lic,CHINGADOS,baja,media,unstressed,1.30102999566398,CDMXINSITU,MASCULINO
5.5605174173547,002cdmxm32lic,EMBARAZADA,baja,baja,unstressed,1,CDMXINSITU,MASCULINO
5.07281371959193,002cdmxm32lic,NADIE,baja,alta,unstressed,2.17609125905568,CDMXINSITU,MASCULINO
7.99091910448733,002cdmxm32lic,ESTUDIAR,alta,alta,stressed,2.38021124171161,CDMXINSITU,MASCULINO
5.31417294220451,002cdmxm32lic,PEDAGOG2A,media,baja,unstressed,1.47712125471966,CDMXINSITU,MASCULINO
1.1636995876823,002cdmxm32lic,PEDAGOG2A,media,baja,unstressed,1.47712125471966,CDMXINSITU,MASCULINO
10.2342897455817,002cdmxm32lic,ESTUDIANDO,alta,alta,stressed,2.07918124604763,CDMXINSITU,MASCULINO
6.95015843560762,002cdmxm32lic,PEDAGOG2A,media,baja,unstressed,1.47712125471966,CDMXINSITU,MASCULINO
10.8210067310337,002cdmxm32lic,CAPACIDAD,alta,baja,stressed,1.84509804001426,CDMXINSITU,MASCULINO
3.4504765707656,002cdmxm32lic,L2DER,alta,media,unstressed,1.30102999566398,CDMXINSITU,MASCULINO
15.1528079806061,002cdmxm32lic,DEDICO,media,alta,stressed,1.30102999566398,CDMXINSITU,MASCULINO
3.38715962999565,002cdmxm32lic,ESTUDIAR,alta,alta,stressed,2.38021124171161,CDMXINSITU,MASCULINO
