uniqueID,intensityDif,preceding_phone,Consonant,following_phone,grupo,sexo,Word,wordFrequency,stressStatus,wordPosition,pastParticiple,observableDip,stopBurst,formante,speaker,Status,stopMinInten,vowelMaxInten,startTime,endTime,midPoint,following_two_phone,Notes,Analyst,Date,minimumPitchSetting,Praat.Version,OS,wordFrequencyAbsolute
001-cdmx-f-30-lic-846.665136366419,10.906813273725234,baja,d,media,CDMX-IN-SITU,FEMENINO,MITAD,2,unstressed,final,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,62.835428938894154,72.74224221261939,846.6469111091618,846.6833616236754,846.6651363664187,k,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,10
001-cdmx-f-30-lic-866.773898658099,1,media,d,media,CDMX-IN-SITU,FEMENINO,TODOS,3.110589710299249,unstressed,medial,no,elidida,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,70.44645259103316,70.98004809106202,866.755239466146,866.7925578500528,866.7738986580994,s,,mc,Tue Dec 11 13:16:27 2018,75HZ,6.0.40,OSX,129
001-cdmx-f-30-lic-870.261340143563,5.92342167323757,baja,d,media,CDMX-IN-SITU,FEMENINO,ECUADOR,1.3010299956639813,stressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,68.30446591748839,73.22788759072596,870.245718494486,870.2769617926406,870.2613401435633,r,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,2
001-cdmx-f-30-lic-875.486811878657,8.680241865810594,baja,d,media,CDMX-IN-SITU,FEMENINO,INCLINADO,1,unstressed,medial,maybe,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,59.18770708725878,66.86794895306937,875.4724952074282,875.501128549886,875.4868118786571,sp,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,1
001-cdmx-f-30-lic-916.18425622491,9.8278058337167309,media,d,media,CDMX-IN-SITU,FEMENINO,TODOS,3.110589710299249,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,63.31401647559702,72.14182230931375,916.1708042493158,916.1977082005044,916.1842562249101,s,Just barely observable this dip,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,129
001-cdmx-f-30-lic-917.191974048535,10.60525923284095,alta,d,media,CDMX-IN-SITU,FEMENINO,HERIDOS,1,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,63.26846647920118,72.87372571204213,917.1746166606714,917.2093314363987,917.191974048535,s,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,1
001-cdmx-f-30-lic-932.780911004765,11.266045541590387,media,d,media,CDMX-IN-SITU,FEMENINO,TODOS,3.110589710299249,unstressed,medial,no,yes,hay,no_formants,001-cdmx-f-30-lic,valid,60.58890184724304,70.85494738883342,932.7652893556879,932.7965326538424,932.7809110047651,s,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,129
001-cdmx-f-30-lic-935.383700354604,8.472563970494356,media,d,media,CDMX-IN-SITU,FEMENINO,PEDO,1.6989700043360187,unstressed,medial,no,yes,no_hay,weak_formants,001-cdmx-f-30-lic,valid,59.83546974179702,67.30803371229138,935.359400011595,935.4080006976131,935.3837003546041,sil,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-940.055862834961,20.40017402186068,alta,d,baja,CDMX-IN-SITU,FEMENINO,REALIDAD,2.230448921378274,stressed,medial,no,yes,no_hay,no_formants,001-cdmx-f-30-lic,valid,57.77927910352918,77.17945312538986,940.0298267531658,940.0818989167567,940.0558628349613,d,Is there a release burst here?,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,17
001-cdmx-f-30-lic-960.125568496759,12.389747763795611,baja,d,media,CDMX-IN-SITU,FEMENINO,MITAD,2,unstressed,final,no,yes,no_hay,weak_formants,001-cdmx-f-30-lic,valid,67.00830149902306,78.39804926281867,960.1062631633982,960.1448738301192,960.1255684967587,k,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,10
001-cdmx-f-30-lic-987.403925114789,9.072252381718855,alta,d,media,CDMX-IN-SITU,FEMENINO,CHIDO,2.342422680822206,unstressed,medial,maybe,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,66.91709526096916,74.98934764268802,987.3904731391949,987.4173770903835,987.4039251147892,p,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,22
001-cdmx-f-30-lic-989.697189336971,14.15130897277971,baja,d,media,CDMX-IN-SITU,FEMENINO,PANADERO,1.3010299956639813,stressed,medial,no,yes,no_hay,weak_formants,001-cdmx-f-30-lic,valid,63.781120420816215,76.93242939359592,989.6746247327479,989.7197539411933,989.6971893369706,r,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,2
001-cdmx-f-30-lic-990.389314742921,3.8269243869480647,media,d,media,CDMX-IN-SITU,FEMENINO,TODO,3.392696953259666,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,68.3100361792598,71.13696056620786,990.3767338104781,990.4018956753632,990.3893147429206,s,Just barely observable dip,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,247
001-cdmx-f-30-lic-993.356700841781,7.278497445178061,baja,d,baja,CDMX-IN-SITU,FEMENINO,CADA,2.724275869600789,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,70.51904331096974,76.7975407561478,993.3402113233108,993.3731903602517,993.3567008417813,p,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,53
001-cdmx-f-30-lic-996.025522631272,2.1815408355952144,media,d,media,CDMX-IN-SITU,FEMENINO,TODO,3.392696953259666,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,65.10696472975941,66.28850556535463,995.9906825882753,996.0200657570675,996.0053741726714,e,,mc,Tue Dec 11 13:16:27 2018,75HZ,6.0.40,OSX,247
001-cdmx-f-30-lic-1003.53434702129,7.751214138576977,baja,d,media,CDMX-IN-SITU,FEMENINO,PANADERÍA,1.6989700043360187,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,60.093085863041885,66.84430000161886,1003.5152538946385,1003.5534401479384,1003.5343470212885,r,"creaky voice, maybe no dip",mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1035.49598363562,4.5075790150693535,baja,d,baja,CDMX-IN-SITU,FEMENINO,NADA,3.0170333392987803,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,74.52303050507199,78.03060952014134,1035.4794941171451,1035.512473154086,1035.4959836356156,m,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,104
001-cdmx-f-30-lic-1038.21110811798,1.0489483694893522,baja,d,baja,CDMX-IN-SITU,FEMENINO,CADA,2.724275869600789,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,undecided,73.5814778299048,73.63042619939415,1038.1804656705212,1038.2073302819883,1038.193897976255,a,Really hard to see if this is an observable dip,mc,Tue Dec 11 13:16:27 2018,75HZ,6.0.40,OSX,53
001-cdmx-f-30-lic-1046.36619197007,5.782231709345481,baja,d,media,CDMX-IN-SITU,FEMENINO,PANADERÍA,1.6989700043360187,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,67.30130512198505,72.08353683133053,1046.3543728036648,1046.378011136474,1046.3661919700694,r,Barely observable dip,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1056.90340518988,11.156848767016356,alta,d,alta,CDMX-IN-SITU,FEMENINO,PIDIÓ,1.6989700043360187,stressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,67.4264505676546,77.58329933467095,1056.8772630047313,1056.9295473750326,1056.903405189882,o,Not sure about measuring the following vowel,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1083.69992532879,11.53226161298717,alta,d,media,CDMX-IN-SITU,FEMENINO,CHIDO,2.342422680822206,unstressed,medial,maybe,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,72.11276291752036,82.64502453050753,1083.6890769613801,1083.7107736962098,1083.699925328795,sil,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,22
001-cdmx-f-30-lic-1087.45013026904,9.289780478342834,alta,d,media,CDMX-IN-SITU,FEMENINO,CHIDO,2.342422680822206,unstressed,medial,maybe,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,69.97022711937545,78.26000759771829,1087.43928190163,1087.4609786364595,1087.4501302690446,s,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,22
001-cdmx-f-30-lic-1087.98868722502,11.419989920494913,baja,d,media,CDMX-IN-SITU,FEMENINO,PANADERÍA,1.6989700043360187,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,64.62593458969796,75.04592451019288,1087.9665565554951,1088.0108178945472,1087.9886872250213,r,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1100.19856097618,4.906173788650101,baja,d,media,CDMX-IN-SITU,FEMENINO,PANADERÍA,1.6989700043360187,unstressed,medial,no,yes,hay,weak_formants,001-cdmx-f-30-lic,valid,62.18726916406391,66.09344295271401,1100.1777321107402,1100.2193898416128,1100.1985609761764,r,Not sure which vertical striation is release burst,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1113.09167231762,11.689360647347272,baja,d,media,CDMX-IN-SITU,FEMENINO,GRABADO,1.6020599913279625,unstressed,medial,maybe,yes,no_hay,weak_formants,001-cdmx-f-30-lic,valid,65.05487954387675,75.74424019122402,1113.073559511237,1113.1097851240058,1113.0916723176215,sp,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,4
001-cdmx-f-30-lic-1158.46197578519,3.522775896512087,alta,d,media,CDMX-IN-SITU,FEMENINO,CHIDO,2.342422680822206,unstressed,medial,maybe,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,66.28650030014187,68.80927619665395,1158.4385433115779,1158.4854082588097,1158.4619757851938,d,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,22
001-cdmx-f-30-lic-1183.17222697386,7.576393944044412,baja,d,media,CDMX-IN-SITU,FEMENINO,GRABADO,1.6020599913279625,unstressed,medial,maybe,yes,no_hay,weak_formants,001-cdmx-f-30-lic,undecided,58.67596487620975,65.25235882025416,1183.1605107370551,1183.183943210671,1183.172226973863,sp,"Following weakened vowel so not sure if we can count it, barely observable dip",mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,4
001-cdmx-f-30-lic-1189.93084019524,6.851683421575302,baja,d,media,CDMX-IN-SITU,FEMENINO,GRABADO,1.6020599913279625,unstressed,medial,maybe,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,66.07951497390074,71.931198395476045,1189.9178221543466,1189.943858236142,1189.9308401952444,p,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,4
